Date,User,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-03-08T03:24:43.852Z,Jane,Included,claude-4.6-sonnet-medium-thinking,No,48048,27,1415894,11329,1475298,1.14
2026-03-08T03:23:09.417Z,John,Included,claude-4.6-sonnet-medium-thinking,No,29088,7,144467,2988,176550,0.24
2026-03-08T03:22:16.977Z,Jane,Included,gpt-5.4-medium,No,0,109161,2407424,17742,2534327,1.77
2026-03-08T03:20:16.816Z,John,Included,claude-4.6-sonnet-medium-thinking,No,45500,10,266619,3674,315803,0.38
2026-03-08T03:20:11.683Z,Jane,Included,claude-4.6-sonnet-medium-thinking,No,4234,4,34825,1540,40603,0.06
2026-03-07T10:37:00.547Z,John,Included,composer-1,No,0,0,0,0,0,0
2026-03-07T10:32:17.365Z,Jane,Included,composer-1,No,0,0,0,0,0,0
2026-03-07T10:26:07.718Z,John,Included,composer-1,No,0,867,316480,340,317687,0.16
2026-03-07T10:24:39.320Z,Jane,Included,composer-1,No,0,1905,468384,1161,471450,0.24
2026-03-07T10:12:46.270Z,John,Included,composer-1,No,0,10583,1476640,8416,1495639,0.79
2026-03-07T10:02:27.521Z,Jane,Included,composer-1,No,0,7583,2116544,5900,2130027,1.09
2026-03-07T09:55:17.435Z,John,Included,composer-1,No,0,201899,1004832,1522,1208253,0.76
2026-03-07T03:44:48.012Z,Jane,Included,claude-4.6-sonnet-medium-thinking,No,157540,8,780025,2006,939579,1.09
2026-03-07T03:40:29.128Z,John,Included,claude-4.6-sonnet-medium-thinking,No,7046,8,912963,5030,925047,0.61
2026-03-07T02:53:15.224Z,Jane,"Errored, No Charge",claude-4.6-sonnet-medium-thinking,No,78686,10,653844,4418,736958,-
2026-03-07T02:16:40.934Z,John,Included,claude-4.6-sonnet-medium-thinking,No,69993,29,2034285,17202,2121509,1.66
2026-03-07T01:55:08.004Z,Jane,Included,claude-4.6-sonnet-medium-thinking,No,42699,44,1907967,34698,1985408,1.75
2026-03-07T01:53:36.826Z,John,Included,claude-4.6-sonnet-medium-thinking,No,4356,6,73173,2847,80382,0.1
2026-03-06T14:41:53.987Z,Jane,Included,composer-1,No,0,17261,52960,1664,71885,0.06
2026-03-06T14:38:45.728Z,John,Included,composer-1,No,0,143670,669088,12001,824759,0.57
2026-03-06T14:37:11.941Z,Jane,Included,composer-1,No,0,62206,175136,2878,240220,0.18
2026-03-06T14:35:38.211Z,John,Included,composer-1,No,0,64399,116416,2170,182985,0.15
2026-03-06T14:12:28.410Z,Jane,Included,claude-4.5-sonnet,No,1332,2,51842,541,53717,0.04
2026-03-06T14:11:12.479Z,John,Included,claude-4.5-sonnet,No,25453,14,71547,1642,98656,0.17
2026-03-05T17:13:36.412Z,Jane,Included,gemini-3-pro-preview,No,0,6801,14099,877,21777,0.03
2026-03-05T17:10:51.884Z,John,Included,gemini-3-pro-preview,No,0,11866,41013,581,53460,0.05
2026-03-05T17:07:58.150Z,Jane,Included,composer-1,No,0,80872,286624,20228,387724,0.33
2026-03-05T15:45:59.969Z,John,Included,composer-1,No,0,153140,630528,7466,791134,0.54
2026-03-05T15:22:35.165Z,Jane,Included,gpt-4o-mini,No,0,0,0,0,0,0
2026-03-05T15:20:15.825Z,John,Included,composer-1,No,0,10033,19552,1007,30592,0.03
2026-03-05T15:09:13.012Z,Jane,Included,composer-1,No,0,40196,66816,1304,108316,0.09
2026-03-05T14:58:15.513Z,John,Included,composer-1,No,0,48877,54848,1768,105493,0.1
2026-03-05T14:55:49.444Z,Jane,Included,composer-1,No,0,7295,432576,1666,441537,0.23
2026-03-05T14:54:08.077Z,John,Included,composer-1,No,0,191872,223360,2368,417600,0.36
2026-03-05T14:24:24.052Z,Jane,Included,composer-1,No,0,102122,468032,4705,574859,0.38
2026-03-05T00:14:48.488Z,John,Included,auto,No,0,484,11264,444,12192,0.01
2026-03-05T00:13:39.141Z,Jane,Included,auto,No,0,3275,146432,1201,150908,0.05
2026-03-05T00:11:35.472Z,John,Included,auto,No,0,4165,185344,1522,191031,0.06
2026-03-05T00:04:22.559Z,Jane,Included,auto,No,0,93563,629760,16983,740306,0.38
2026-03-03T11:05:51.648Z,John,Included,gpt-4o-mini,No,0,0,0,0,0,0
2026-03-03T11:04:52.899Z,Jane,Included,gpt-4o-mini,No,0,0,0,0,0,0
